# Name Type group ID	MW       Precursor   coll_fac        mole_diam       surf_tens accomod  mass_dens non_volatile
PMD	1 1	28.0    --           1.000D10        1.000D10        0.D0      1.0     2.33D3	0
PBC	2 1	12.0   --            1.000D10        1.000D10        0.D0      1.0     2.25D3	0
PNA	3 1	23.0    --           1.000D10        1.000D10        0.D0      1.0     0.97D3	0
PSO4	3 1	98.0    SULF         77.3d0          5.5d0           80.D-03   1.0    1.84D3	1
PNH4	3 1	17.0	NH3          558.3d0         2.9d0           80.D-03   1.0    0.91D3	0
PNO3	3 1	63.0    HNO3         475.9d0         3.3d0           80.D-03   1.0    1.50D3	0
PHCL	3 1	36.5	HCL          344.7d0         3.339d0         80.D-03   1.0    1.15D3	0
PBiA2D	4 2	186.0   BiA2D        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiA1D	4 2	170.0   BiA1D        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiA0D	4 2	168.0   BiA0D        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PAGLY	4 2	58.0	--           687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PAMGLY	4 2	72.0    MGLY         687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiMT	4 2	136.0   BiMT         687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiPER	4 2	168.0   BiPER        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiDER	4 2	136.0	BiDER        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiMGA	4 2	120.0   BiMGA        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PAnBlP	4 2	167.0   AnBlP        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PAnBmP	4 2	152.0	AnBmP        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiBlP	4 2	298.0   BiBlP        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiBmP	4 2	236.0   BiBmP        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiNGA	4 2	165.0   BiNGA        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiNIT3	4 2	272.0	BiNIT3       687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PBiNIT	4 2	215.0   BiNIT        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PAnClP	4 2	167.0   AnClP        687.d0          8.39d0          30.D-03   1.0    1.30D3	1
PSOAlP	4 2	392.0	SOAlP        687.d0          8.39d0          30.D-03   1.0    1.30D3	1
PSOAmP	4 2	392.0   SOAmP        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PSOAhP	4 2	392.0   SOAhP        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PPOAlP	4 2	280.0	POAlP        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PPOAmP	4 2	280.0   POAmP        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PPOAhP	4 2	280.0   POAhP        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PMonomer 4 2	278.0	Monomer      687.d0          8.39d0          30.D-03   1.0    1.30D3	1
PDimer	4 2	432.0   Dimer        687.d0          8.39d0          30.D-03   1.0    1.30D3	1
PBiA3D	4 2	204.0   BiA3D        687.d0          8.39d0          30.D-03   1.0    1.30D3	0
PACIDMAL 4   2          158.0   ACIDMAL      687.d0          8.39d0          30.D-03   1.0    1.30D3 0
PDHMB    4   2          154.0   DHMB         687.d0          8.39d0          30.D-03   1.0    1.30D3 0
PPAHlN 4     2          198.0   PAHlN      687.d0          8.39d0          30.D-03   1.0    1.30D3 0
PPAHhN 4     2          166.0   PAHhN      687.d0          8.39d0          30.D-03   1.0    1.30D3 0
PPSYR    4   2          186.0   PSYR         687.d0          8.39d0          30.D-03   1.0    1.30D3 0
PGHDPerox 4  2          174.0   GHDPerox     687.d0          8.39d0          30.D-03   1.0    1.30D3 0
PH2O	9 1	18.0 	--           1.000D10        1.000D10        0.d0      1.0   1.00D3 0
